UV 1_280,UV 1_280,Cond,Cond,Conc B,Conc B
ml,mAU,ml,mS/cm,ml,%
UV 1_280 ml,UV 1_280 mAU,Cond ml,Cond mS/cm,Conc B ml,Conc B %
0.069861,0.928993,0.16154,3.121557,0.915463,100
0.070695,0.928652,0.163207,3.121572,0.923795,100
0.071528,0.928376,0.164874,3.121603,0.932126,100
0.072361,0.928372,0.16654,3.121589,0.940458,100
0.073194,0.928421,0.168207,3.121641,0.948789,100
0.074028,0.92847,0.169874,3.121651,0.957121,100
0.074861,0.928519,0.17154,3.121618,0.965452,100
0.075694,0.928547,0.173207,3.121593,0.973783,100
0.076527,0.928558,0.174874,3.121554,0.982115,100
0.077361,0.928567,0.17654,3.121586,0.990446,100
0.078194,0.928502,0.178207,3.121636,0.998778,100
0.079027,0.928373,0.179873,3.12167,1.007109,100
0.07986,0.928237,0.18154,3.12166,1.01544,100
0.080693,0.928099,0.183207,3.121671,1.023772,100
0.081527,0.927962,0.184873,3.121647,1.032103,100
0.08236,0.928118,0.18654,3.121626,1.040435,100
0.083193,0.928328,0.188207,3.121627,1.048766,100
0.084026,0.928509,0.189873,3.121639,1.057097,100
0.08486,0.928412,0.19154,3.121618,1.065429,100
0.085693,0.928268,0.193207,3.12161,1.07376,100
0.086526,0.928123,0.194873,3.121584,1.082092,100
0.087359,0.927979,0.19654,3.121578,1.090423,100
0.088193,0.927716,0.198207,3.121608,1.098755,100
0.089026,0.927315,0.199873,3.121619,1.107086,100
0.089859,0.926895,0.20154,3.121583,1.115417,100
0.090692,0.926523,0.203206,3.121595,1.123749,100
0.091525,0.926267,0.204873,3.121596,1.13208,100
0.092359,0.926032,0.20654,3.121605,1.140411,100
0.093192,0.925792,0.208206,3.121624,1.148743,100
0.094025,0.925548,0.209873,3.121637,1.157074,100
0.094858,0.925628,0.21154,3.121642,1.165406,100
0.095692,0.925832,0.213206,3.121692,1.173737,100
0.096525,0.926047,0.214873,3.121661,1.182069,100
0.097358,0.926805,0.21654,3.121691,1.1904,100
0.098191,0.927959,0.218206,3.121687,1.198731,100
0.099025,0.929174,0.219873,3.121665,1.207063,100
0.099858,0.930378,0.22154,3.12165,1.215394,100
0.100691,0.931556,0.223206,3.121666,1.223726,100
0.101524,0.932601,0.224873,3.121686,1.232057,100
0.102357,0.933598,0.226539,3.121714,1.240388,100
0.103191,0.934569,0.228206,3.121701,1.24872,100
0.104024,0.935273,0.229873,3.12174,1.257051,100
0.104857,0.935917,0.231539,3.121722,1.265383,100
0.10569,0.936559,0.233206,3.12173,1.273714,100
0.106524,0.9372,0.234873,3.121717,1.282045,100
