Run Name,221006 ABm1-40 10.7.19
Run Date,04:08:52 PM   10-06-22
Method Name,Superdex75_10/300 SEC
Export Format Version, 1.00
Method ID, 2655
Points/Second, 5.00
Number of Records,  13470
Offset from Run Start Time,00:00:00
Run End Time,00:44:54
Time,Second
UV,AU,
Conductivity,mS/cm
Gradient Pump,<Not Selected>
Trace 3,<Not Available>
Trace 4,<Not Available>
Trace 5,<Not Available>
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,UV,Conductivity,Volume
     0.0,0.000399,   3.749,     0.0
     0.2,0.000330,   3.749,     0.0
     0.4,0.000245,   3.749,     0.0
     0.6,0.000204,   3.749,     0.0
     0.8,0.000200,   3.749,     0.0
     1.0,0.000185,   3.736,     0.0
     1.2,0.000153,   3.736,     0.0
     1.4,0.000201,   3.736,     0.0
     1.6,0.000211,   3.736,     0.0
     1.8,0.000158,   3.736,     0.0
     2.0,0.000072,   3.736,     0.0
     2.2,0.000038,   3.736,     0.0
     2.4,0.000057,   3.736,     0.0
     2.6,0.000058,   3.736,     0.0
     2.8,0.000051,   3.736,     0.0
     3.0,0.000046,   3.736,     0.0
     3.2,0.000023,   3.723,     0.0
     3.4,0.000032,   3.723,     0.0
     3.6,0.000043,   3.723,     0.0
     3.8,-0.000006,   3.723,     0.0
     4.0,-0.000012,   3.723,     0.0
     4.2,-0.000040,   3.723,     0.0
     4.4,-0.000030,   3.723,     0.0
     4.6,0.000006,   3.723,     0.0
     4.8,0.000060,   3.723,     0.0
     5.0,0.000157,   3.723,     0.1
     5.2,0.000252,   3.723,     0.1
     5.4,0.000288,   3.723,     0.1
     5.6,0.000309,   3.723,     0.1
     5.8,0.000298,   3.723,     0.1
     6.0,0.000275,   3.736,     0.1
     6.2,0.000318,   3.736,     0.1
     6.4,0.000309,   3.723,     0.1
     6.6,0.000293,   3.723,     0.1
     6.8,0.000257,   3.736,     0.1
     7.0,0.000203,   3.736,     0.1
     7.2,0.000185,   3.736,     0.1
     7.4,0.000122,   3.736,     0.1
     7.6,0.000024,   3.736,     0.1
     7.8,-0.000031,   3.736,     0.1
     8.0,-0.000053,   3.736,     0.1
     8.2,-0.000041,   3.736,     0.1
     8.4,-0.000051,   3.736,     0.1
     8.6,-0.000116,   3.736,     0.1
     8.8,-0.000132,   3.736,     0.1
     9.0,-0.000082,   3.736,     0.1
     9.2,0.000001,   3.736,     0.1
     9.4,0.000117,   3.736,     0.1
     9.6,0.000157,   3.736,     0.1
     9.8,0.000180,   3.749,     0.1
    10.0,0.000208,   3.749,     0.1
    10.2,0.000211,   3.749,     0.1
    10.4,0.000205,   3.736,     0.1
    10.6,0.000242,   3.736,     0.1
    10.8,0.000300,   3.736,     0.1
    11.0,0.000340,   3.749,     0.1
    11.2,0.000365,   3.749,     0.1
    11.4,0.000349,   3.749,     0.1
    11.6,0.000325,   3.749,     0.1
    11.8,0.000260,   3.749,     0.1
    12.0,0.000207,   3.749,     0.1
    12.2,0.000203,   3.749,     0.1
    12.4,0.000224,   3.749,     0.1
    12.6,0.000252,   3.749,     0.1
    12.8,0.000242,   3.749,     0.1
    13.0,0.000172,   3.749,     0.1
    13.2,0.000096,   3.749,     0.1
    13.4,0.000060,   3.749,     0.1
    13.6,0.000056,   3.749,     0.1
    13.8,0.000067,   3.749,     0.1
    14.0,0.000071,   3.749,     0.1
    14.2,0.000036,   3.749,     0.1
    14.4,0.000011,   3.749,     0.1
